id,duration,views,likes,favorites,comments
GwIo3gDZCVQ,34712,2481436,45935,0,1228
ukzFI9rgwfU,472,3511479,43674,0,2096
lsf060bLH_Y,654,452828,25321,0,1393
NWONeJKn6kc,35539,992443,34225,0,994
cE-Ej1ycXtk,628,220826,8867,0,286
JxgmHe2NyeY,23872,194888,4846,0,132
i_LwzRVP7bg,14033,731722,13750,0,294
1vsmaEfbnoE,899,512941,27190,0,1014
RnFGwxJwx-0,38191,1209666,30891,0,908
IoZGSQ07e8g,19639,284393,7776,0,236
olFxW7kdtP8,1269,93832,1812,0,57
nKW8Ndu7Mjw,636,2325761,39648,0,569
4UJelID_ICw,6339,386615,8268,0,181
PeMlggyqz0Y,155,209301,14508,0,387
6uE4nfFgc5Q,1136,527562,25837,0,1266
jyd4uH5dWJ8,451,301333,17795,0,1163
HcqpanDadyQ,323,947579,15913,0,187
5q87K1WaoFI,1569,1568558,46883,0,1823
hjh1ikznScg,854,125229,1958,0,31
KNAWp2S3w94,438,783443,17438,0,376
Y4qO9unerGs,721,454840,10021,0,259
VwVg9jCtqaU,2133,1708818,35578,0,832
7eh4d6sabA0,2983,1670929,41172,0,1373
ZJixNvx9BAc,2477,1397678,26894,0,1066
q6kJ71tEYqM,470,108386,3786,0,42
mlxoB3wI9eY,1822,374057,19697,0,1381
17tGxiPatPg,792,83418,3362,0,111
WSbgixdC9g8,890,1299733,23861,0,345
HyQVy77-gpE,308,63004,2202,0,95
9QErWiClGjM,421,58803,903,0,52
O0Ka_nBRtN0,24358,57916,1965,0,88
6Hm1pNqQxq0,300,783813,37424,0,2178
H6Zpk5lL_1s,425,82734,2318,0,158
zM4VZR0px8E,1159,393117,5904,0,539
fSytzGwwBVw,365,749512,23594,0,1266
A1kgMEs_ALI,1263,39527,1314,0,93
I7NrVwm3apg,4265,314373,5182,0,1517
het9HFqo1TQ,4774,293915,2882,0,15
ajeTYqhRHno,397,138851,8852,0,889
MfmkZa5VMrM,8622,16787,754,0,44
UehuI1w10lg,20385,108756,3276,0,198
hQyUwF2vaac,360,256094,5563,0,234
4dwsSz_fNSQ,568,499349,12652,0,474
yN7ypxC7838,301,699682,18362,0,318
h0e2HAPTGF4,3091,1416079,20171,0,418
qv6UVOQ0F44,358,10873810,177995,0,7137
xLkk6MUrvrw,468,371285,10904,0,186
8jazNUpO3lQ,914,657521,9015,0,1098
I2ZK3ngNvvI,348,148458,4996,0,166
xOccYkgRV4Q,2739,22794,893,0,101
